dataset,model,maes,rmses,r2s,maes_mean,rmses_mean,r2s_mean,maes_std,rmses_std,r2s_std
dr,non-pretrained,[0.39929453 0.383306   0.38322195 0.37525126 0.37239808],[0.51768696 0.48928612 0.52045614 0.49279296 0.48064253],[0.07541007 0.17407519 0.06549215 0.16219354 0.20299864],0.3826943635940551,0.5001729428768158,0.13603391647338864,0.01045981652529001,0.017836569364970925,0.06178011261572623
dr,rf,[0.36351993 0.35332069 0.35904961 0.36349375 0.36123328],[0.47076669 0.46062346 0.46438021 0.47290638 0.46487254],[0.23541204 0.268005   0.2560163  0.22844595 0.25443794],0.3601234530947468,0.4667098580294251,0.24846344755899094,0.004229579600648605,0.005017518579598987,0.016168270401246198
dr,pretrained,[0.30834982 0.31195378 0.31467211 0.30422494 0.31903848],[0.40188417 0.38288957 0.400516   0.38402641 0.39584109],[0.44279307 0.4942199  0.44658047 0.49121201 0.45942444],0.3116478264331818,0.39303144812583923,0.46684597730636596,0.005697319838390342,0.009030943769723146,0.024430245248342867
lipo,non-pretrained,[0.48801211 0.48614833 0.48040316 0.497383   0.46680456],[0.64305621 0.62517732 0.63671523 0.63492048 0.61844647],[0.68903428 0.70608544 0.69513673 0.69685298 0.71238017],0.4837502300739288,0.6316631436347961,0.6998979210853576,0.01127081779673819,0.00978113266178583,0.00927430933228136
lipo,rf,[0.68299601 0.68032664 0.67844553 0.67914288 0.68386446],[0.87100036 0.86887376 0.87168882 0.87571369 0.87312457],[0.42950551 0.43228791 0.42860329 0.42331445 0.42671945],0.6809551026226639,0.8720802392638868,0.42808612167210136,0.002377329011011305,0.002544283231874744,0.0033381786015980884
lipo,pretrained,[0.57238638 0.57161731 0.56166482 0.56876302 0.57193595],[0.75490648 0.74475902 0.73130888 0.73880094 0.74639142],[0.57145059 0.58289421 0.59782386 0.58954132 0.58106381],0.5692734956741333,0.7432333469390869,0.5845547556877136,0.004483991721140084,0.00880911736269366,0.009843756204102007
qm7,non-pretrained,[84.26112366 91.55870819 85.46347809 91.42681122 89.51203156],[134.80911255 138.74308777 135.08802795 142.04598999 140.16917419],[0.62627411 0.60414374 0.62472606 0.58507204 0.59596431],88.44443054199219,138.17107849121095,0.6072360515594483,3.395556865926621,3.167906871642155,0.01800142911950598
qm7,rf,[141.01059872 140.20946073 141.81961437 141.66598778 141.26753764],[193.63012876 192.51693204 194.18245476 194.71114425 193.88885475],[0.22899204 0.23783174 0.2245872  0.2203591  0.22693024],141.19463984753003,193.78590291357207,0.22774006530245866,0.6368918962817528,0.8152417816987885,0.006490076040746142
qm7,pretrained,[115.37748718 114.37459564 113.59775543 129.10905457 114.72798157],[163.21261597 158.69491577 159.67411804 179.22109985 161.74606323],[0.45219988 0.48210621 0.47569531 0.33946925 0.46200025],117.43737487792968,164.5097625732422,0.442294180393219,6.55620603497555,8.410409759630433,0.058651621263846196
